Giới thiệu,Diện tích,Giá nhà,Địa chỉ,Ngày đăng,Link,Pháp lý,index_,Mô tả
"Bán nhà phố Lê Thanh Nghị ,dt 90m, giá 10 tỷ",90 m2 5 PN 5 WC,10 tỷ,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-le-thanh-nghi-dt-90m-gia-10-ty-id22006783,Sổ đỏ,11,
"Bán tập thể tầng 1 mặt phố Tạ Quang Bửu - Bách Khoa, 92m2, 6.8 tỷ",92 m2 2 PN 1 WC,6 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-tap-the-tang-1-mat-pho-ta-quang-buu-bach-khoa-92m2-6-8-ty-id21994803,Sổ đỏ,12,
"Bán nhà ngõ 17 Tạ Quang Bửu, DT 65m2 x 4 tầng, tiện kinh doanh & VP",65 m2 6 PN 4 WC,11 tỷ,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-ngo-17-ta-quang-buu-dt-65m2-x-4-tang-tien-kinh-doanh-vp-id21875335,Sổ đỏ,13,
"Bán nhà phố Tạ Quang Bửu, HBT, 45m2, giá 7,5 tỷ",45 m2 6 PN 6 WC,7 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-ta-quang-buu-hbt-45m2-gia-7-5-ty-id22022104,Sổ đỏ,14,
"Bán nhà phân lô ngõ 37 Lê Thanh Nghị - Bách Khoa, 30m2 x 5T, 2.5 tỷ",30 m2 3 PN 3 WC,2 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",Hôm nay,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-phan-lo-ngo-37-le-thanh-nghi-bach-khoa-30m2-x-5t-2-5-ty-id22308392,Sổ đỏ,15,
"Bán nhà 19 tỷ TẠ QUANG BỬU HAI BÀ TRƯNG. 135m2 (6,5m mặt tiền)",135 m2 3 PN 3 WC,19 tỷ,"Quận Hai Bà Trưng, Hà Nội",27/01/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-19-ty-ta-quang-buu-hai-ba-trung-135m2-6-5m-mat-tien-id21194202,Sổ đỏ,16,
Bán nhà mặt phố quận Hai Bà Trưng 50m2x6T mặt tiền 8m lô góc KD đẹp.,50 m2 4 PN 4 WC,16 tỷ,"Quận Hai Bà Trưng, Hà Nội",26/01/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mat-pho-quan-hai-ba-trung-50m2x6t-mat-tien-8m-lo-goc-kd-dep-id21192866,Sổ đỏ,17,
"Bán nhà phân lô Tạ Quang Bửu, Bách Khoa, HBT, Hà Nội DT 103m2x5T",103 m2 5 PN 5 WC,10 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",20/01/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-phan-lo-ta-quang-buu-bach-khoa-hbt-ha-noi-dt-103m2x5t-id21182811,Sổ đỏ,18,
"Bán nhà Lê Thanh Nghị, Hai Bà Trưng. DT 130m2, 7 tầng, MT 7m.",130 m2 24 PN 24 WC,18 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",14/01/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-le-thanh-nghi-hai-ba-trung-dt-130m2-7-tang-mt-7m-id21114205,Sổ đỏ,19,
"Nhà tạ quang bửu, hai bà trưng 33m2, ngõ rộng, giá chỉ 2 tỷ 7",33 m2 4 PN 2 WC,2 triệu 700 nghìn,"Quận Hai Bà Trưng, Hà Nội",12/01/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/nha-ta-quang-buu-hai-ba-trung-33m2-ngo-rong-gia-chi-2-ty-7-id21166260,Sổ đỏ,20,
"Nhà mặt phố Đại Cồ Việt 35m2x6 tầng, vỉa hè rộng, KD 30triệu/tháng",35 m2 3 PN 3 WC,9 tỷ 300 triệu,"Quận Hai Bà Trưng, Hà Nội",04/01/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nha-mat-pho-dai-co-viet-35m2x6-tang-via-he-rong-kd-30trieu-thang-id21152422,Sổ đỏ,21,
Cực hiếm Đất học Bách Khoa 63m2 4T MT 4m ô tô 12 tỷ Hai Bà Trưng .,63 m2 4 PN 4 WC,12 tỷ,"Quận Hai Bà Trưng, Hà Nội",27/04/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/cuc-hiem-dat-hoc-bach-khoa-63m2-4t-mt-4m-o-to-12-ty-hai-ba-tru-ng-id21278298,Sổ đỏ,22,
Lô góc - kinh doanh - cho thuê 40tr/t - mặt phố lê thanh nghị 43m x,43 m2 6 PN 5 WC,18 tỷ,"Quận Hai Bà Trưng, Hà Nội",21/04/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/lo-goc-kinh-doanh-cho-thue-40tr-t-mat-pho-le-thanh-nghi-43m-x-id21277468,Sổ đỏ,23,
"Bán nhà đẹp phân lô, LÊ THANH NGHỊ 85M2 X 7 TẦNG, Ô TÔ TRÁNH; KD ĐỈNH,",85 m2 8 PN 3 WC,12 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",09/04/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-dep-phan-lo-le-thanh-nghi-85m2-x-7-tang-o-to-tranh-kd-dinh-id21258794,Sổ đỏ,24,
Siêu phẩm nhà 39m2. 3 tầng.trung tâm Hai Bà Trưng .khu dân trí cao,39 m2 2 PN 2 WC,6 tỷ 357 triệu,"Quận Hai Bà Trưng, Hà Nội",01/04/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/sieu-pham-nha-39m2-3-tang-trung-tam-hai-ba-tru-ng-khu-dan-tri-cao-id21252349,Sổ đỏ,25,
"Bán nhà Mặt phố Lê Thanh Nghị, 95m2, mt 8m, Hai mặt tiền, 26 tỷ",95 m2 6 PN 8 WC,26 tỷ,"Quận Hai Bà Trưng, Hà Nội",30/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mat-pho-le-thanh-nghi-95m2-mt-8m-hai-mat-tien-26-ty-id21248521,Sổ đỏ,26,
Bán Nhà Mặt Phố Lê Thanh Nghị Ngay Nút Giao Thanh Nhàn 15.2 tỷ,51 m2 4 PN 4 WC,15 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",27/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mat-pho-le-thanh-nghi-ngay-nut-giao-thanh-nhan-15-2-ty-id21132345,Sổ đỏ,27,
"Bán Nhà Lê Thanh Nghị 10 Phòng Cho Thuê, Full Nội Thất, Dòng Tiền 36tr",36 m2 10 PN 6 WC,4 tỷ 900 triệu,"Quận Hai Bà Trưng, Hà Nội",27/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-le-thanh-nghi-10-phong-cho-thue-full-noi-that-dong-tien-36tr-id21140435,Sổ đỏ,28,
Nhà mới cứng khu Bách Kinh Xây - 5m mặt tiền - chỉ 72tr/m2.,52 m2 3 PN 3 WC,3 tỷ 950 triệu,"Quận Hai Bà Trưng, Hà Nội",27/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/nha-moi-cung-khu-bach-kinh-xay-5m-mat-tien-chi-72tr-m2-id21246090,Sổ đỏ,29,
"Bán Nhà 4T Ngõ 37 Lê Thanh Nghị, Ngõ Ô Tô 5.25 Tỷ Cần Thanh Khoản Gấp",41 m2 4 PN 4 WC,5 tỷ 250 triệu,"Quận Hai Bà Trưng, Hà Nội",27/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-4t-ngo-37-le-thanh-nghi-ngo-o-to-5-25-ty-can-thanh-khoan-gap-id21190630,Sổ đỏ,30,
"Bán Nhà Số 68 Lê Thanh Nghị, Mặt Phố Quận Hai Bà Trưng Diện Tích 95M2",95 m2 8 PN 5 WC,28 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",27/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-so-68-le-thanh-nghi-mat-pho-quan-hai-ba-trung-dien-tich-95m2-id20978709,Sổ đỏ,31,
"Bán Nhà Mặt ngõ Lê Thanh Nghị Kinh Doanh Sầm Uất, Ô Tô Vào Nhà,10.5 Tỷ",78 m2 2 PN 2 WC,10 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",27/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-mat-ngo-le-thanh-nghi-kinh-doanh-sam-uat-o-to-vao-nha-10-5-ty-id20998236,Sổ đỏ,32,
Nhà mới- gần phố- 3 phòng khép kín-,32 m2 4 PN 4 WC,3 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",10/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nha-moi-gan-pho-3-phong-khep-kin-id21216800,Sổ đỏ,33,
"Bán nhà Mặt phố Lê Thanh Nghị, 55m2, MT 8m, Hai mặt tiền, 17.9 tỷ",55 m2 5 PN 5 WC,17 tỷ 900 triệu,"Quận Hai Bà Trưng, Hà Nội",09/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mat-pho-le-thanh-nghi-55m2-mt-8m-hai-mat-tien-17-9-ty-id21201940,Sổ đỏ,34,
"Bán nhà mặt phố Lê Thanh Nghị 84m, 5 tầng, MT 6.8m, Giá 29 tỷ",84 m2 8 PN 4 WC,29 tỷ,"Quận Hai Bà Trưng, Hà Nội",04/03/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mat-pho-le-thanh-nghi-84m-5-tang-mt-6-8m-gia-29-ty-id21108828,Sổ đỏ,35,
"Bán nhà PL Phố Vọng Trần Đại Nghĩa Hai Bà Trưng. Dt 120m2 - 11,8 tỷ.",120 m2 3 PN 3 WC,11 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",27/02/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-pl-pho-vong-tran-dai-nghia-hai-ba-trung-dt-120m2-11-8-ty-id21205193,Sổ đỏ,36,
"Bán nhà Phố Đại Cồ Việt, Lô góc, KD sầm uất, ô tô, vỉa hè, 55m, 12 tỷ",55 m2 3 PN 4 WC,12 tỷ,"Quận Hai Bà Trưng, Hà Nội",31/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-pho-dai-co-viet-lo-goc-kd-sam-uat-o-to-via-he-55m-12-ty-id20871701,Sổ đỏ,37,
"CCMN 7T TM 75m2 , Phố Lê Thanh Nghị, thu hơn 800tr/năm, giá 11,5 tỷ TL",75 m2 11 PN 11 WC,11 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",25/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ccmn-7t-tm-75m2-pho-le-thanh-nghi-thu-hon-800tr-nam-gia-11-5-ty-tl-id21302001,Sổ đỏ,38,
"Tập thể Bách Khoa, Tạ Quang Bửu, 65m2,2PN, bảo vệ 24/7, giá 1.98 tỷ",65 m2 2 PN 1 WC,1 tỷ 980 triệu,"Quận Hai Bà Trưng, Hà Nội",25/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/tap-the-bach-khoa-ta-quang-buu-65m2-2pn-bao-ve-24-7-gia-1-98-ty-id21294811,Sổ đỏ,39,
"Chính chủ bán nhà tập thể tạ quang bửu, E7,65m2, 2pn, giá chỉ 1.98 tỷ.",65 m2 2 PN 1 WC,1 tỷ 980 triệu,"Quận Hai Bà Trưng, Hà Nội",25/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/chinh-chu-ban-nha-tap-the-ta-quang-buu-e7-65m2-2pn-gia-chi-1-98-ty-id21292842,Sổ đỏ,40,
"Bán tòa nhà 75m2x6T TM,Phố Lê Thanh Nghị,thu 800tr/năm, giá 11,5 tỷ",70 m2 11 PN 11 WC,11 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",25/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-toa-nha-75m2x6t-tm-pho-le-thanh-nghi-thu-800tr-nam-gia-11-5-ty-id21304731,Sổ đỏ,41,
"Bán nhà mặt phố Lê Thanh Nghị,80m2,MT 4,1m kinh doanh sầm uất giá 6 tỷ",48 m2 1 PN 1 WC,6 tỷ,"Quận Hai Bà Trưng, Hà Nội",25/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-mat-pho-le-thanh-nghi-80m2-mt-4-1m-kinh-doanh-sam-uat-gia-6-ty-id21303039,Sổ đỏ,42,
"Bán nhà TT tầng 1 Tạ Quang Bửu, 80m2, 3PN, ô tô vào nhà",80 m2 3 PN 2 WC,3 tỷ 100 triệu,"Quận Hai Bà Trưng, Hà Nội",25/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-tt-tang-1-ta-quang-buu-80m2-3pn-o-to-vao-nha-id21311848,Sổ đỏ,43,
Bán nhà Tạ Quang Bửu Bách Khoa Gần Ô tô 41M 5TẦNG 3.65TỶ,41 m2 4 PN 4 WC,3 tỷ 650 triệu,"Quận Hai Bà Trưng, Hà Nội",20/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-duong-noi-bo/ban-nha-ta-quang-buu-bach-khoa-gan-o-to-41m-5tang-3-65ty-id21250954,Sổ đỏ,44,
"Bán nhà khu Trần Đại Nghĩa, phố Vọng, cách phố 15m, xây mới căn góc",45 m2 5 PN 4 WC,5 tỷ 700 triệu,"Quận Hai Bà Trưng, Hà Nội",17/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-khu-tran-dai-nghia-pho-vong-cach-pho-15m-xay-moi-can-goc-id21279811,Sổ đỏ,45,
"Bán nhà xây mới khu phân lô Trần Đại Nghĩa, Nguyễn An Ninh 54m2x5 tầng",54 m2 6 PN 4 WC,5 tỷ 700 triệu,"Quận Hai Bà Trưng, Hà Nội",17/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-xay-moi-khu-phan-lo-tran-dai-nghia-nguyen-an-ninh-54m2x5-tang-id21276107,Sổ đỏ,46,
"Bán nhà cách phố 10m, Trần Đại Nghĩa, Nguyễn An Ninh 5,7 tỷ DT 55m2x5T",55 m2 6 PN 4 WC,5 tỷ 700 triệu,"Quận Hai Bà Trưng, Hà Nội",17/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-cach-pho-10m-tran-dai-nghia-nguyen-an-ninh-5-7-ty-dt-55m2x5t-id21274578,Sổ đỏ,47,
"Bán nhà 5,7 tỷ DT 45m2x5T,cách phố 15m,căn góc 2 thoáng Nguyễn An Ninh",45 m2 5 PN 5 WC,5 tỷ 700 triệu,"Quận Hai Bà Trưng, Hà Nội",17/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-5-7-ty-dt-45m2x5t-cach-pho-15m-can-goc-2-thoang-nguyen-an-ninh-id21273288,Sổ đỏ,48,
"Bán nhà xây mới ngõ 383 Trần Đại Nghĩa 5,7 tỷ DT 54m2x5T, cách phố 10m",54 m2 6 PN 4 WC,5 tỷ 700 triệu,"Quận Hai Bà Trưng, Hà Nội",17/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-xay-moi-ngo-383-tran-dai-nghia-5-7-ty-dt-54m2x5t-cach-pho-10m-id21272709,Sổ đỏ,49,
Bán nhà Phố Trần Đại Nghĩa - ô tô tránh - Ở/ VP Cty-DT82mx4T. Giá 8 tỷ,82 m2 4 PN 4 WC,8 tỷ,"Quận Hai Bà Trưng, Hà Nội",03/05/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-pho-tran-dai-nghia-o-to-tranh-o-vp-cty-dt82mx4t-gia-8-ty-id21011148,Sổ đỏ,50,
Nhà Tạ Quang Bửu Bách Khoa HBT gần Ô tô tiện ích đỉnh 39M 4Tầng 3.5Tỷ,39 m2 3 PN 3 WC,3 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",28/04/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/nha-ta-quang-buu-bach-khoa-hbt-gan-o-to-tien-ich-dinh-39m-4tang-3-5ty-id21265697,Sổ đỏ,51,
"Bán nhà Đầu ngõ Tạ Quang Bửu giá 8.3 tỷ, 30mx6 tầng, KD lớn, ôto đỗ",30 m2 4 PN 4 WC,8 tỷ 300 triệu,"Quận Hai Bà Trưng, Hà Nội",21/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-dau-ngo-ta-quang-buu-gia-8-3-ty-30mx6-tang-kd-lon-oto-do-id21251399,Sổ đỏ,52,
"Bán gấp Mặt phố Lê Thanh Nghị giá 18.5 tỷ, 50mx5 tầng, MT 7m, KD lớn",50 m2 5 PN 5 WC,18 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",21/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-gap-mat-pho-le-thanh-nghi-gia-18-5-ty-50mx5-tang-mt-7m-kd-lon-id21183408,Sổ đỏ,53,
"Cần bán gấp Mặt phố Lê Thanh Nghị giá 4.15 tỷ, 40m2, lô góc, KD tốt",40 m2 1 PN 1 WC,4 tỷ 150 triệu,"Quận Hai Bà Trưng, Hà Nội",21/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/can-ban-gap-mat-pho-le-thanh-nghi-gia-4-15-ty-40m2-lo-goc-kd-tot-id21258028,Sổ đỏ,54,
"Bán gấp Mặt phố Nguyễn Hiền ( tập thể tầng 1) giá 5.4 tỷ, 90m2, KD tốt",90 m2 3 PN 2 WC,5 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",21/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-gap-mat-pho-nguyen-hien-tap-the-tang-1-gia-5-4-ty-90m2-kd-tot-id21361418,Sổ đỏ,55,
"Bán nhà riêng, ngõ 40 Tạ Quang Bửu giá 7.5 tỷ, 45m2, MT 5m, có sổ",45 m2 3 PN 3 WC,7 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",21/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-rieng-ngo-40-ta-quang-buu-gia-7-5-ty-45m2-mt-5m-co-so-id21358423,Sổ đỏ,56,
"Chính chủ cần bán tập thể E7 Bách Khoa Tạ Quang Bửu 65m2 giá 1,98 tỷ",65 m2 2 PN 1 WC,1 tỷ 980 triệu,"Quận Hai Bà Trưng, Hà Nội",08/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-duong-noi-bo/chinh-chu-can-ban-tap-the-e7-bach-khoa-ta-quang-buu-65m2-gia-1-98-ty-id21292201,Sổ đỏ,57,
Bán nhà MP Lê Thanh Nghị MT 5m vỉa hè rộng kd sầm uất 83m2 giá 6 tỷ,83 m2 2 PN 1 WC,6 tỷ,"Quận Hai Bà Trưng, Hà Nội",08/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mp-le-thanh-nghi-mt-5m-via-he-rong-kd-sam-uat-83m2-gia-6-ty-id21212882,Sổ đỏ,58,
"Bán Gấp, Nhà Tạ Quang Bửu, Hai Bà Trưng, 60m2, 3tầng, nhỉnh 5 tỷ.",60 m2 3 PN 3 WC,5 tỷ 100 triệu,"Quận Hai Bà Trưng, Hà Nội",07/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-gap-nha-ta-quang-buu-hai-ba-trung-60m2-3tang-nhinh-5-ty-id21370250,Sổ đỏ,59,
"Cần Bán Gấp Nhà Phố Tạ Quang Bửu: 35m2*4 Tầng, 3 Ngủ, Gần Phố, 2.95 Tỷ",35 m2 3 PN 3 WC,2 tỷ 950 triệu,"Quận Hai Bà Trưng, Hà Nội",02/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/can-ban-gap-nha-pho-ta-quang-buu-35m2-4-tang-3-ngu-gan-pho-2-95-ty-id21361107,Sổ đỏ,60,
"Bán Nhà Phố Lê Thanh Nghị: 36m2*4 Tầng, Gần Phố, 3 Tỷ",36 m2 3 PN 3 WC,3 tỷ,"Quận Hai Bà Trưng, Hà Nội",02/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-le-thanh-nghi-36m2-4-tang-gan-pho-3-ty-id21361141,Sổ đỏ,61,
Lợn Đẻ Trứng Vàng 40tr/tháng! Bán nhà Phố Trần Đại Nghĩa 12 phòng khép,68 m2 12 PN 12 WC,6 tỷ,"Quận Hai Bà Trưng, Hà Nội",25/06/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/lon-de-trung-vang-40tr-thang-ban-nha-pho-tran-dai-nghia-12-phong-khep-id21002224,Sổ đỏ,62,
"2,5 tỷ! Bán gấp nhà căn góc Phố Trần Đại Nghĩa 30mx5T có 1 không 2",30 m2 3 PN 4 WC,2 tỷ 550 triệu,"Quận Hai Bà Trưng, Hà Nội",25/06/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/2-5-ty-ban-gap-nha-can-goc-pho-tran-dai-nghia-30mx5t-co-1-khong-2-id21002188,Sổ đỏ,63,
"Bán gấp nhà phố Tạ Quang Bửu, gần trường Bách Khoa, 35m5t, 3.3 tỷ",35 m2 3 PN 4 WC,3 tỷ 300 triệu,"Quận Hai Bà Trưng, Hà Nội",19/06/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-gap-nha-pho-ta-quang-buu-gan-truong-bach-khoa-35m5t-3-3-ty-id21333906,Sổ đỏ,64,
"Bán gấp nhà Lê Thanh Nghị, sát gần phố, gần trường học, 34m5t, 3.4 tỷ",34 m2 3 PN 4 WC,3 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",19/06/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-gap-nha-le-thanh-nghi-sat-gan-pho-gan-truong-hoc-34m5t-3-4-ty-id21335469,Sổ đỏ,65,
"Bán nhà 4,5 tỷ Lê Thanh Nghị Hai Bà Trưng. Gần ĐH KTQD 40m2 x 5T mới",40 m2 6 PN 6 WC,4 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",16/06/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-4-5-ty-le-thanh-nghi-hai-ba-trung-gan-dh-ktqd-40m2-x-5t-moi-id21351656,Sổ đỏ,66,
